ID,Project ID,Build ID,Build Platform Pre-heated Temperature (deg C),Maximal O2 Set (%),Start Height (mm),Final Height (mm),Layer Thickness (mm),Recoating Positive Speed (mm/sec),Recoating Negative Speed (mm/sec),Atmosphere Gas Type
1,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,80.000,1.300,0.020,90.180,0.020,500.000,80.000,Nitrogen
2,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,80.000,1.500,0.020,90.180,0.020,500.000,80.000,Nitrogen
3,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build3,80.000,1.500,0.020,90.180,0.020,500.000,80.000,Argon
4,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build4,80.000,1.500,0.020,90.180,0.020,500.000,80.000,Argon
6,NIST-RPS-14,NIST-RPS-A-14_001,0.000,0.000,0.020,36.220,0.020,500.000,80.000,
7,NIST-RPS-14,NIST-RPS-A-14_0010,,0.000,2.000,14.000,0.020,0.000,0.000,
8,NIST-RPS-14,NIST-RPS-A-14_0011,,0.000,2.000,36.200,0.020,0.000,0.000,
9,NIST-RPS-14,NIST-RPS-A-14_002,,0.000,0.020,36.220,0.020,500.000,80.000,
10,NIST-RPS-14,NIST-RPS-A-14_003,,0.000,2.000,36.200,0.020,0.000,0.000,
11,NIST-RPS-14,NIST-RPS-A-14_004,,0.000,2.000,17.000,0.020,0.000,0.000,
12,NIST-RPS-14,NIST-RPS-A-14_005,,0.000,2.000,36.200,0.020,0.000,0.000,
13,NIST-RPS-14,NIST-RPS-A-14_006,,0.000,2.000,17.000,0.020,0.000,0.000,
14,NIST-RPS-14,NIST-RPS-A-14_007,,0.000,2.000,17.000,0.020,0.000,0.000,
15,NIST-RPS-14,NIST-RPS-A-14_008,,0.000,2.000,17.000,0.020,0.000,0.000,
16,NIST-RPS-14,NIST-RPS-A-14_009,,0.000,2.000,17.000,0.020,0.000,0.000,
