ID,Project ID,Build ID,Test Filename,Test Name,Tester,Test Location,Test Time,Specimen ID,Test Standards,Test Preparation,Ultimate Tensile Strength (MPa),Yield Strength (MPa),Young's Modulus (GPa),Reduction of Area (%)
1,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,EWI_IN625_RR_Tensiltest1_1.xml,EWI_IN625_RR_T_01,,,,T-XY-X_1,,,979.110,563.040000,198.030,29.000
2,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,EWI_IN625_RR_Tensiltest1_10.xml,EWI_IN625_RR_T_20,,,,T-Z-X-5,,,892.860,531.300000,161.460,53.000
3,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,EWI_IN625_RR_Tensiltest1_2.xml,EWI_IN625_RR_T_03,,,,T-XY-X_1,,,962.550,559.590000,184.230,28.000
4,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,EWI_IN625_RR_Tensiltest1_3.xml,EWI_IN625_RR_T_04,,,,T-XY-X_4,,,962.550,561.660000,171.120,25.000
5,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,EWI_IN625_RR_Tensiltest1_4.xml,EWI_IN625_RR_T_07,,,,T-XY-Y_2,,,978.420,565.900000,198.030,28.000
6,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,EWI_IN625_RR_Tensiltest1_5.xml,EWI_IN625_RR_T_10,,,,T-XY-Y_1,,,967.380,561.660000,188.370,30.000
7,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,EWI_IN625_RR_Tensiltest1_6.xml,EWI_IN625_RR_T_11,,,,T-Z-X_1,,,886.650,530.610000,154.560,51.000
8,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,EWI_IN625_RR_Tensiltest1_7.xml,EWI_IN625_RR_T_13,,,,T-Z-X_3,,,888.030,531.300000,147.660,50.000
9,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,EWI_IN625_RR_Tensiltest1_8.xml,EWI_IN625_RR_T_14,,,,T-Z-X_3,,,881.820,529.920000,170.430,51.000
10,EWI-IN625-RR-12,EWI_JIP_625_NISTbuild,EWI_IN625_RR_Tensiltest1_9.xml,EWI_IN625_RR_T_17,,,,T-Z-Y_2,,,890.100,529.920000,166.980,50.000
11,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,EWI_IN625_RR_Tensiltest2_1.xml,EWI_IN625_RR_T_21,,,,T-XY-X_1,,,981.870,572.700000,198.030,29.000
12,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,EWI_IN625_RR_Tensiltest2_10.xml,EWI_IN625_RR_T_40,,,,T-Z-Y-5,,,888.030,543.720000,177.330,43.000
13,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,EWI_IN625_RR_Tensiltest2_2.xml,EWI_IN625_RR_T_23,,,,T-XY-X_3,,,966.000,549.240000,180.090,25.000
14,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,EWI_IN625_RR_Tensiltest2_3.xml,EWI_IN625_RR_T_24,,,,T-XY-X_4,,,968.760,569.940000,191.820,25.000
15,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,EWI_IN625_RR_Tensiltest2_4.xml,EWI_IN625_RR_T_27,,,,T-XY-Y_2,,,986.700,583.740000,184.920,27.000
16,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,EWI_IN625_RR_Tensiltest2_5.xml,EWI_IN625_RR_T_30,,,,T-XY-Y_5,,,982.560,575.460000,192.510,28.000
17,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,EWI_IN625_RR_Tensiltest2_6.xml,EWI_IN625_RR_T_31,,,,T-Z-X_1,,,886.650,549.240000,168.360,46.000
18,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,EWI_IN625_RR_Tensiltest2_7.xml,EWI_IN625_RR_T_33,,,,T-Z-X_3,,,892.170,545.790000,173.880,48.000
19,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,EWI_IN625_RR_Tensiltest2_8.xml,EWI_IN625_RR_T_34,,,,T-Z-X_4,,,888.720,547.170000,188.370,44.000
20,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build2,EWI_IN625_RR_Tensiltest2_9.xml,EWI_IN625_RR_T_37,,,,T-Z-Y_2,,,1079.850,540.960000,175.260,47.000
22,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build3,EWI_IN625_RR_Tensiltest3_1.xml,EWI_IN625_RR_T_41,,,,T-XY-X_1,,,969.450,555.450000,193.890,31.000
23,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build3,EWI_IN625_RR_Tensiltest3_10.xml,EWI_IN625_RR_T_60,,,,T-Z-Y-5,,,883.890,526.470000,168.360,51.000
24,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build3,EWI_IN625_RR_Tensiltest3_2.xml,EWI_IN625_RR_T_43,,,,T-XY-X_3,,,962.550,552.690000,195.960,29.000
25,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build3,EWI_IN625_RR_Tensiltest3_3.xml,EWI_IN625_RR_T_44,,,,T-XY-X_4,,,970.830,556.830000,198.030,25.000
27,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build3,EWI_IN625_RR_Tensiltest3_4.xml,EWI_IN625_RR_T_47,,,,T-XY-Y_2,,,988.080,563.730000,191.820,30.000
28,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build3,EWI_IN625_RR_Tensiltest3_5.xml,EWI_IN625_RR_T_50,,,,T-XY-Y_5,,,968.070,558.210000,229.770,29.000
29,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build3,EWI_IN625_RR_Tensiltest3_6.xml,EWI_IN625_RR_T_51,,,,T-Z-X_1,,,871.470,521.640000,162.840,52.000
30,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build3,EWI_IN625_RR_Tensiltest3_7.xml,EWI_IN625_RR_T_53,,,,T-Z-X_3,,,870.780,521.640000,150.420,51.000
31,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build3,EWI_IN625_RR_Tensiltest3_8.xml,EWI_IN625_RR_T_54,,,,T-Z-X_4,,,877.680,523.020000,183.540,47.000
33,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build3,N/A,EWI_IN625_RR_T_57,,,,T-Z-Y_2,,,881.130,524.400000,152.490,53.000
34,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build4,N/A,EWI_IN625_RR_T_61,,,,T-XY-X_1,,,985.320,567.180000,195.270,27.000
35,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build4,N/A,EWI_IN625_RR_T_63,,,,T-XY-X_3,,,984.630,568.560000,182.160,28.000
36,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build4,N/A,EWI_IN625_RR_T_64,,,,T-XY-X_4,,,986.010,573.390000,207.690,29.000
37,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build4,N/A,EWI_IN625_RR_T_67,,,,T-XY-Y_2,,,968.070,563.730000,203.550,28.000
38,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build4,N/A,EWI_IN625_RR_T_70,,,,T-XY-Y_5,,,969.450,558.900000,170.430,28.000
39,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build4,N/A,EWI_IN625_RR_T_71,,,,T-Z-X_1,,,876.990,534.750000,171.120,46.000
40,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build4,N/A,EWI_IN625_RR_T_73,,,,T-Z-X_3,,,879.060,531.990000,184.230,52.000
41,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build4,N/A,EWI_IN625_RR_T_74,,,,T-Z-X_4,,,881.820,531.990000,160.080,51.000
42,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build4,N/A,EWI_IN625_RR_T_77,,,,T-Z-Y_2,,,876.990,531.300000,165.600,50.000
43,EWI-IN625-RR-12,EWI_JIP_625_DMC_Build4,N/A,EWI_IN625_RR_T_80,,,,T-Z-Y_5,,,879.060,531.990000,155.940,52.000
44,NIST-RPS-14,NIST-RPS-A-14_001,,T-A-14-1A.1,N/A,N/A,2001-01-01 00:00:00,T-xyz-001A.1,ASTM E8,,1328.000,608.000000,183.100,28.000
45,NIST-RPS-14,NIST-RPS-A-14_001,,T-A-14-1A.2,N/A,N/A,2001-01-01 00:00:00,T-xyz-001A.2,ASTM E8,,1327.000,578.000000,183.100,28.000
46,NIST-RPS-14,NIST-RPS-A-14_001,,T-A-14-1A.3,N/A,N/A,2001-01-01 00:00:00,T-xyz-001A.3,ASTM E8,,1326.000,589.000000,186.100,28.000
47,NIST-RPS-14,NIST-RPS-A-14_0010,,T-A-14-10B.2,N/A,N/A,2001-01-01 00:00:00,T-xyz-001B.2,ASTM E8,,1369.000,597.000000,192.000,26.000
48,NIST-RPS-14,NIST-RPS-A-14_0010,,T-A-14-10A.5,N/A,N/A,2001-01-01 00:00:00,T-xyz-0010A.5,ASTM E8,,1328.000,558.000000,183.800,26.000
49,NIST-RPS-14,NIST-RPS-A-14_0010,,T-A-14-10A.6,N/A,N/A,2001-01-01 00:00:00,T-xyz-0010A.6,ASTM E8,,1331.000,563.000000,192.300,25.000
50,NIST-RPS-14,NIST-RPS-A-14_0011,,T-A-14-11A.1,N/A,N/A,2001-01-01 00:00:00,T-xyz-0011A.1,ASTM E8,,1330.000,598.000000,171.900,27.000
51,NIST-RPS-14,NIST-RPS-A-14_0011,,T-A-14-11A.2,N/A,N/A,2001-01-01 00:00:00,T-xyz-0011A.2,ASTM E8,,1326.000,601.000000,186.400,28.000
52,NIST-RPS-14,NIST-RPS-A-14_0011,,T-A-14-11A.3,N/A,N/A,2001-01-01 00:00:00,T-xyz-0011A.3,ASTM E8,,1321.000,601.000000,200.000,27.000
53,NIST-RPS-14,NIST-RPS-A-14_0011,,T-A-14-11B.4,N/A,N/A,2001-01-01 00:00:00,T-xyz-0011B.4,ASTM E8,,1347.000,570.000000,194.900,27.000
54,NIST-RPS-14,NIST-RPS-A-14_002,,T-A-14-2B.2,N/A,N/A,2001-01-01 00:00:00,T-xyz-002B.2,ASTM E8,,1334.000,601.000000,186.000,20.000
55,NIST-RPS-14,NIST-RPS-A-14_002,,T-A-14-2B.3,N/A,N/A,2001-01-01 00:00:00,T-xyz-002B.3,ASTM E8,,1308.000,589.000000,181.900,25.000
56,NIST-RPS-14,NIST-RPS-A-14_002,,T-A-14-2A.4,N/A,N/A,2001-01-01 00:00:00,T-xyz-002A.4,ASTM E8,,1314.000,584.000000,185.000,26.000
57,NIST-RPS-14,NIST-RPS-A-14_002,,T-A-14-2A.6,N/A,N/A,2001-01-01 00:00:00,T-xyz-002A.6,ASTM E8,,1344.000,582.000000,189.900,26.000
58,NIST-RPS-14,NIST-RPS-A-14_002,,T-A-14-3A.1,N/A,N/A,2001-01-01 00:00:00,T-xyz-003A.2,ASTM E8,,1331.000,586.000000,188.000,26.000
59,NIST-RPS-14,NIST-RPS-A-14_002,,T-A-14-3B.2,N/A,N/A,2001-01-01 00:00:00,T-xyz-003B.2,ASTM E8,,1341.000,583.000000,186.900,25.000
60,NIST-RPS-14,NIST-RPS-A-14_003,,T-A-14-3A.3,N/A,N/A,2001-01-01 00:00:00,T-xyz-003A.3,ASTM E8,,1333.000,611.000000,183.300,26.000
61,NIST-RPS-14,NIST-RPS-A-14_003,,T-A-14-3A.5,N/A,N/A,2001-01-01 00:00:00,T-xyz-003A.5,ASTM E8,,1333.000,611.000000,183.300,26.000
62,NIST-RPS-14,NIST-RPS-A-14_004,,T-A-14-4B.1,N/A,N/A,2001-01-01 00:00:00,T-xyz-004B.1,ASTM E8,,1344.000,586.000000,184.500,23.000
63,NIST-RPS-14,NIST-RPS-A-14_004,,T-A-14-4B.3,N/A,N/A,2001-01-01 00:00:00,T-xyz-004B.3,ASTM E8,,1368.000,574.000000,191.800,25.000
64,NIST-RPS-14,NIST-RPS-A-14_004,,T-A-14-4A.4,N/A,N/A,2001-01-01 00:00:00,T-xyz-004A.4,ASTM E8,,1337.000,567.000000,195.600,25.000
65,NIST-RPS-14,NIST-RPS-A-14_004,,T-A-14-4A.4,N/A,N/A,2001-01-01 00:00:00,T-xyz-004A.6,ASTM E8,,1411.000,567.000000,182.900,24.000
66,NIST-RPS-14,NIST-RPS-A-14_005,,T-A-14-5A.1,N/A,N/A,2001-01-01 00:00:00,T-xyz-005A.1,ASTM E8,,1326.000,554.000000,182.400,25.000
67,NIST-RPS-14,NIST-RPS-A-14_005,,T-A-14-5A.2,N/A,N/A,2001-01-01 00:00:00,T-xyz-005A.2,ASTM E8,,1340.000,587.000000,193.600,26.000
68,NIST-RPS-14,NIST-RPS-A-14_005,,T-A-14-5A.3,N/A,N/A,2001-01-01 00:00:00,T-xyz-005A.3,ASTM E8,,1353.000,598.000000,190.000,28.000
69,NIST-RPS-14,NIST-RPS-A-14_006,,T-A-14-6A.4,N/A,N/A,2001-01-01 00:00:00,T-xyz-006A.4,ASTM E8,,1319.000,602.000000,199.100,28.000
70,NIST-RPS-14,NIST-RPS-A-14_006,,T-A-14-6A.5,N/A,N/A,2001-01-01 00:00:00,T-xyz-006A.5,ASTM E8,,1330.000,589.000000,192.000,27.000
71,NIST-RPS-14,NIST-RPS-A-14_006,,T-A-14-6A.6,N/A,N/A,2001-01-01 00:00:00,T-xyz-006A.6,ASTM E8,,1338.000,593.000000,185.800,28.000
72,NIST-RPS-14,NIST-RPS-A-14_007,,T-A-14-7A.1,N/A,N/A,2001-01-01 00:00:00,T-xyz-007A.1,ASTM E8,,1393.000,559.000000,172.500,23.000
73,NIST-RPS-14,NIST-RPS-A-14_007,,T-A-14-7A.5,N/A,N/A,2001-01-01 00:00:00,T-xyz-007A.5,ASTM E8,,1372.000,571.000000,192.400,29.000
74,NIST-RPS-14,NIST-RPS-A-14_007,,T-A-14-7B.6,N/A,N/A,2001-01-01 00:00:00,T-xyz-007B.6,ASTM E8,,1373.000,571.000000,192.100,25.000
75,NIST-RPS-14,NIST-RPS-A-14_008,,T-A-14-8A.2,N/A,N/A,2001-01-01 00:00:00,T-xyz-008A.2,ASTM E8,,1371.000,569.000000,186.500,24.000
76,NIST-RPS-14,NIST-RPS-A-14_008,,T-A-14-8A.4,N/A,N/A,2001-01-01 00:00:00,T-xyz-008A.4,ASTM E8,,1368.000,567.000000,195.300,25.000
77,NIST-RPS-14,NIST-RPS-A-14_008,,T-A-14-8B.5,N/A,N/A,2001-01-01 00:00:00,T-xyz-008B.5,ASTM E8,,1348.000,544.000000,186.700,24.000
78,NIST-RPS-14,NIST-RPS-A-14_008,,T-A-14-8A.6,N/A,N/A,2001-01-01 00:00:00,T-xyz-008A.6,ASTM E8,,1385.000,555.000000,191.900,25.000
79,NIST-RPS-14,NIST-RPS-A-14_009,,T-A-14-9A.1,N/A,N/A,2001-01-01 00:00:00,T-xyz-009A.1,ASTM E8,,1366.000,582.000000,186.900,21.000
80,NIST-RPS-14,NIST-RPS-A-14_009,,T-A-14-9A.2,N/A,N/A,2001-01-01 00:00:00,T-xyz-009A.2,ASTM E8,,1364.000,573.000000,187.400,24.000
81,NIST-RPS-14,NIST-RPS-A-14_009,,T-A-14-9A.3,N/A,N/A,2001-01-01 00:00:00,T-xyz-009A.3,ASTM E8,,1353.000,567.000000,180.600,25.000
82,NIST-RPS-14,NIST-RPS-A-14_009,,T-A-14-9B.4,N/A,N/A,2001-01-01 00:00:00,T-xyz-009B.4,ASTM E8,,1335.000,576.000000,181.400,23.000
